  5.01187E+08  1.00000E+08  9.40290E+17  4.81535E+08  2.00000E+09  9.69363E+17  3.72443E+08  7.32258E+09  1.26184E+18  4.11739E+17  3.21551E+17  3.88666E+17  3.49521E+17  2.36198E-01  2.69748E-05  8.77493E-05  5.45184E-06  4.53166E-04  1.09627E-01  6.53602E-01
  6.30957E+08  1.00000E+08  1.03058E+18  6.08615E+08  2.00000E+09  1.05847E+18  4.81071E+08  7.50131E+09  1.33978E+18  3.97731E+17  3.09192E+17  3.81630E+17  3.43256E+17  2.44486E-01  2.94963E-05  9.69678E-05  6.71021E-06  5.23348E-04  1.16545E-01  6.38312E-01
  7.94328E+08  1.00000E+08  1.12837E+18  7.68877E+08  2.00000E+09  1.15519E+18  6.19670E+08  7.68275E+09  1.42671E+18  3.85572E+17  2.98342E+17  3.75116E+17  3.37504E+17  2.51495E-01  3.18586E-05  1.05992E-04  8.16539E-06  6.00797E-04  1.23999E-01  6.23759E-01
  1.00000E+09  1.00000E+08  1.23424E+18  9.70952E+08  2.00000E+09  1.26009E+18  7.96293E+08  7.86785E+09  1.52301E+18  3.74986E+17  2.88777E+17  3.69146E+17  3.32271E+17  2.57369E-01  3.41138E-05  1.14975E-04  9.85750E-06  6.87451E-04  1.32276E-01  6.09508E-01
  1.25893E+09  1.00000E+08  1.34880E+18  1.22571E+09  2.00000E+09  1.37378E+18  1.01525E+09  8.23782E+09  1.64041E+18  3.80877E+17  2.91611E+17  3.75942E+17  3.39916E+17  2.54983E-01  3.67361E-05  1.21739E-04  9.69000E-06  6.73192E-04  1.20458E-01  6.23718E-01
  1.58489E+09  1.00000E+08  1.47274E+18  1.54686E+09  2.00000E+09  1.49694E+18  1.30181E+09  8.39394E+09  1.75380E+18  3.68764E+17  2.81057E+17  3.67978E+17  3.32562E+17  2.61626E-01  3.83992E-05  1.29778E-04  1.19740E-05  7.71286E-04  1.30571E-01  6.06852E-01
  1.99526E+09  1.00000E+08  1.60680E+18  1.95163E+09  2.00000E+09  1.63029E+18  1.66931E+09  8.47866E+09  1.87436E+18  3.52524E+17  2.67567E+17  3.56054E+17  3.21174E+17  2.68611E-01  4.07498E-05  1.42662E-04  1.64645E-05  1.00104E-03  1.59353E-01  5.70835E-01
  2.51189E+09  1.00000E+08  1.75176E+18  2.46176E+09  2.00000E+09  1.77462E+18  2.12880E+09  8.71123E+09  2.01485E+18  3.48437E+17  2.63097E+17  3.53962E+17  3.19658E+17  2.73872E-01  4.30259E-05  1.44865E-04  1.84181E-05  1.00244E-03  1.38574E-01  5.86345E-01
  3.16228E+09  1.00000E+08  1.90847E+18  3.10460E+09  2.00000E+09  1.93077E+18  2.70989E+09  8.98548E+09  2.16927E+18  3.47204E+17  2.60795E+17  3.54161E+17  3.20396E+17  2.77648E-01  4.54412E-05  1.45755E-04  1.98872E-05  9.61903E-04  1.14804E-01  6.06376E-01
  3.98107E+09  1.00000E+08  2.07787E+18  3.91463E+09  2.00000E+09  2.09966E+18  3.44625E+09  9.27570E+09  2.33702E+18  3.46784E+17  2.59151E+17  3.54973E+17  3.21694E+17  2.80514E-01  4.82488E-05  1.46897E-04  2.14652E-05  9.16609E-04  9.40611E-02  6.24291E-01
  5.01187E+09  1.00000E+08  2.26096E+18  4.93522E+09  2.00000E+09  2.28230E+18  4.37880E+09  9.58473E+09  2.51914E+18  3.47218E+17  2.58185E+17  3.56464E+17  3.23620E+17  2.82485E-01  5.15945E-05  1.48325E-04  2.31341E-05  8.67329E-04  7.60320E-02  6.40393E-01
  6.30957E+09  1.00000E+08  2.45880E+18  6.22105E+09  2.00000E+09  2.47975E+18  5.55919E+09  9.91546E+09  2.71672E+18  3.48535E+17  2.57915E+17  3.58687E+17  3.26230E+17  2.83591E-01  5.55854E-05  1.49930E-04  2.48294E-05  8.11798E-04  6.03014E-02  6.55065E-01
  7.94328E+09  1.00000E+08  2.67258E+18  7.84092E+09  2.00000E+09  2.69318E+18  7.05262E+09  1.02707E+10  2.93092E+18  3.50751E+17  2.58345E+17  3.61680E+17  3.29563E+17  2.83867E-01  6.01939E-05  1.51446E-04  2.63071E-05  7.45369E-04  4.65348E-02  6.68615E-01
  1.00000E+10  1.00000E+08  2.90354E+18  9.88151E+09  2.00000E+09  2.92385E+18  8.94094E+09  1.06581E+10  3.16318E+18  3.54087E+17  2.59636E+17  3.65662E+17  3.33842E+17  2.83095E-01  6.57600E-05  1.54475E-04  2.78369E-05  6.77464E-04  3.52864E-02  6.80693E-01
