  9.4727647470E-03  8.6664474019E-03  7.8046285328E-03  7.2778805032E-03  7.7731834462E-03  1.0379806929E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.1454918956E-02  1.0582755364E-02  9.5932731724E-03  8.8556414545E-03  8.9494949829E-03  1.0791164640E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.3809749833E-02  1.2877179863E-02  1.1761127937E-02  1.0817206364E-02  1.0543225053E-02  1.1709065430E-02  1.5330429599E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.6600641430E-02  1.5613918752E-02  1.4374840926E-02  1.3229127670E-02  1.2613411453E-02  1.3176944610E-02  1.5789277644E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.9901409101E-02  1.8867091187E-02  1.7510968565E-02  1.6168928441E-02  1.5232409542E-02  1.5253607196E-02  1.6973400536E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.3797979393E-02  2.2722517883E-02  2.1257433681E-02  1.9726355622E-02  1.8486873827E-02  1.8014658679E-02  1.8940746385E-02  2.2032247423E-02  0.0000000000E+00  0.0000000000E+00
  2.8390445942E-02  2.7279967894E-02  2.5715485154E-02  2.4004769518E-02  2.2478949921E-02  2.1553866539E-02  2.1769261927E-02  2.3786498007E-02  2.8354670401E-02  0.0000000000E+00
  3.3795429757E-02  3.2655385580E-02  3.1002041217E-02  2.9123245199E-02  2.7327725301E-02  2.5984565846E-02  2.5559009855E-02  2.6620187163E-02  2.9823091979E-02  3.5876066796E-02
  4.0148778460E-02  3.8983945230E-02  3.7252559869E-02  3.5219041784E-02  3.3171339861E-02  3.1441313298E-02  3.0434076686E-02  3.0640431564E-02  3.2629740514E-02  3.7029256377E-02
  4.7608763198E-02  4.6423219601E-02  4.4624353812E-02  4.2450718547E-02  4.0169582673E-02  3.8082017834E-02  3.6544675458E-02  3.5982994613E-02  3.6890955216E-02  3.9819439457E-02
  5.6359840028E-02  5.5157008379E-02  5.3300492583E-02  5.1001976031E-02  4.8507284306E-02  4.6090753724E-02  4.4069535327E-02  4.2815046979E-02  4.2756471268E-02  4.4375313870E-02
  6.6617001934E-02  6.5399638719E-02  6.3494478808E-02  6.1086200931E-02  5.8398554976E-02  5.5681540190E-02  5.3219123861E-02  5.1338201983E-02  5.0413084949E-02  5.0864054536E-02
  7.8630716775E-02  7.7401159421E-02  7.5455137497E-02  7.2951776572E-02  7.0091946034E-02  6.7102767267E-02  6.4239624955E-02  6.1792126098E-02  6.0088473417E-02  5.9496020275E-02
  9.2693049466E-02  9.1453250787E-02  8.9473050729E-02  8.6888135578E-02  8.3876552397E-02  8.0643327326E-02  7.7418240324E-02  7.4459231587E-02  7.2055644653E-02  7.0529523968E-02
  1.0914438132E-01  1.0789590487E-01  1.0588721069E-01  1.0323296699E-01  1.0008913651E-01  9.6639194849E-02  9.3089593949E-02  8.9670551049E-02  8.6638317873E-02  8.4276352124E-02
  1.2838154394E-01  1.2712571841E-01  1.2509316120E-01  1.2238045359E-01  1.1912249091E-01  1.1548205232E-01  1.1164373577E-01  1.0781317595E-01  1.0421785427E-01  1.0110818899E-01
  1.5086718581E-01  1.4960504171E-01  1.4755252317E-01  1.4479065991E-01  1.4143507262E-01  1.3762869237E-01  1.3353568381E-01  1.2933927360E-01  1.2524168060E-01  1.2146454881E-01
  1.7714051551E-01  1.7587304829E-01  1.7380375315E-01  1.7100060659E-01  1.6756208512E-01  1.6361244743E-01  1.5929652892E-01  1.5477709837E-01  1.5023374272E-01  1.4586291996E-01
  2.0783027352E-01  2.0655826732E-01  2.0447481600E-01  2.0163711477E-01  1.9812840598E-01  1.9405591991E-01  1.8954656027E-01  1.8474395302E-01  1.7980727938E-01  1.7491052897E-01
  2.4366952381E-01  2.4239366977E-01  2.4029822829E-01  2.3743144028E-01  2.3386359670E-01  2.2968641754E-01  2.2501018427E-01  2.1996108651E-01  2.1467956811E-01  2.0931939546E-01
  2.8551285330E-01  2.8423367166E-01  2.8212801913E-01  2.7923673570E-01  2.7561913937E-01  2.7135315979E-01  2.6653397626E-01  2.6127171493E-01  2.5568956216E-01  2.4992319277E-01
  3.3435659761E-01  3.3307446178E-01  3.3096024305E-01  3.2804830413E-01  3.2438873030E-01  3.2004771620E-01  3.1510660113E-01  3.0966098403E-01  3.0381841677E-01  2.9769807769E-01
  3.9136231516E-01  3.9007781512E-01  3.8795623315E-01  3.8502679003E-01  3.8133184378E-01  3.7692730679E-01  3.7188274089E-01  3.6628020539E-01  3.6021336753E-01  3.5378606745E-01
  4.5788436392E-01  4.5659787018E-01  4.5446993634E-01  4.5152570833E-01  4.4780088774E-01  4.4334285148E-01  4.3821053771E-01  4.3247430017E-01  4.2621506054E-01  4.1952308592E-01
  5.3550192933E-01  5.3421355033E-01  5.3208030292E-01  5.2912344834E-01  5.2537340265E-01  5.2086995629E-01  5.1566342397E-01  5.0981372892E-01  5.0339020772E-01  4.9647099637E-01
  6.2605583967E-01  6.2476590364E-01  6.2262813662E-01  6.1966052807E-01  6.1588898633E-01  6.1134732239E-01  6.0607798728E-01  6.0013190999E-01  5.9356845635E-01  5.8645493378E-01
  7.3169249971E-01  7.3040128944E-01  7.2825959665E-01  7.2528280010E-01  7.2149305364E-01  7.1691888316E-01  7.1159637792E-01  7.0556872585E-01  6.9888650808E-01  6.9160733767E-01
