  3.98107E+07  1.00000E+08  3.13354E+17  1.25855E+08  2.50000E+09  6.10065E+17  6.20829E+07  6.00221E+09  9.33927E+17  9.38995E+08  6.24135E+17  6.20573E+17  7.20536E+17  3.08491E+17  1.04897E-01  4.21197E-06  1.44752E-05  4.02844E-07  7.36987E-05  4.82402E-02  8.46770E-01
  5.01187E+07  1.00000E+08  3.49150E+17  1.52210E+08  2.50000E+09  6.51866E+17  7.61831E+07  6.15630E+09  9.52020E+17  9.33314E+08  5.97090E+17  6.02869E+17  6.72372E+17  3.07516E+17  1.21540E-01  6.06961E-06  2.04177E-05  6.25702E-07  1.01115E-04  5.67268E-02  8.21605E-01
  6.30957E+07  1.00000E+08  3.88303E+17  1.84660E+08  2.50000E+09  6.97955E+17  9.47958E+07  6.32431E+09  9.78023E+17  9.29065E+08  5.65624E+17  5.89720E+17  6.35536E+17  3.08717E+17  1.40976E-01  8.61240E-06  2.84305E-05  9.65593E-07  1.37612E-04  6.59985E-02  7.92850E-01
  7.94328E+07  1.00000E+08  4.31064E+17  2.24139E+08  2.50000E+09  7.47990E+17  1.17169E+08  6.47928E+09  1.00678E+18  9.26675E+08  5.38326E+17  5.75715E+17  5.99878E+17  3.07590E+17  1.57829E-01  1.12568E-05  3.67379E-05  1.37284E-06  1.76196E-04  7.40978E-02  7.67847E-01
  1.00000E+08  1.00000E+08  4.77703E+17  2.72279E+08  2.50000E+09  8.02303E+17  1.47467E+08  6.64681E+09  1.04417E+18  9.26371E+08  5.09551E+17  5.66471E+17  5.72220E+17  3.08250E+17  1.75640E-01  1.43563E-05  4.64959E-05  1.92542E-06  2.22820E-04  8.22387E-02  7.41835E-01
  1.25893E+08  1.00000E+08  5.28512E+17  3.31222E+08  2.50000E+09  8.61354E+17  1.86030E+08  6.81030E+09  1.08730E+18  9.28245E+08  4.84826E+17  5.58786E+17  5.46927E+17  3.07748E+17  1.90914E-01  1.73604E-05  5.61067E-05  2.57064E-06  2.71815E-04  8.94571E-02  7.19281E-01
  1.58489E+08  1.00000E+08  5.83803E+17  4.03323E+08  2.50000E+09  9.25352E+17  2.33287E+08  6.96683E+09  1.13524E+18  9.32305E+08  4.64307E+17  5.51434E+17  5.23162E+17  3.05890E+17  2.03527E-01  2.01351E-05  6.51834E-05  3.29040E-06  3.21912E-04  9.59317E-02  7.00131E-01
  1.99526E+08  1.00000E+08  6.43913E+17  4.91985E+08  2.50000E+09  9.94923E+17  2.93979E+08  6.96159E+09  1.15288E+18  9.38513E+08  5.56006E+17  5.08967E+17  4.60214E+17  2.69532E+17  1.44018E-01  1.37697E-05  4.71299E-05  2.44011E-06  2.68027E-04  9.17955E-02  7.63855E-01
  2.51189E+08  1.00000E+08  7.09208E+17  5.97282E+08  2.50000E+09  1.06796E+18  3.73455E+08  6.99833E+09  1.19654E+18  9.46804E+08  5.88297E+17  4.87335E+17  4.19151E+17  2.48610E+17  1.22663E-01  1.19503E-05  4.22765E-05  2.33560E-06  2.64198E-04  9.35102E-02  7.83506E-01
  3.16228E+08  1.00000E+08  7.80080E+17  7.25858E+08  2.50000E+09  1.14680E+18  3.82654E+08  6.94829E+09  1.20007E+18  9.57114E+08  5.68172E+17  4.19994E+17  3.81798E+17  2.31537E+17  1.35403E-01  1.36099E-05  4.76525E-05  2.70817E-06  2.91441E-04  9.69490E-02  7.67292E-01
  3.98107E+08  1.00000E+08  8.56954E+17  8.96736E+08  2.50000E+09  1.23882E+18  5.97130E+08  7.06052E+09  1.31605E+18  9.69384E+08  6.17231E+17  4.59097E+17  3.54323E+17  2.13562E+17  1.02483E-01  1.06541E-05  3.97145E-05  2.57571E-06  2.92474E-04  1.03368E-01  7.93803E-01
  5.01187E+08  1.00000E+08  9.40290E+17  1.09462E+09  2.50000E+09  1.33224E+18  7.62321E+08  7.19578E+09  1.39980E+18  9.83564E+08  6.40605E+17  4.59514E+17  3.34617E+17  2.02731E+17  8.65479E-02  9.14015E-06  3.53812E-05  2.47052E-06  2.92346E-04  1.08441E-01  8.04671E-01
  6.30957E+08  1.00000E+08  1.03058E+18  1.34205E+09  2.50000E+09  1.43480E+18  9.41136E+08  7.26036E+09  1.47660E+18  9.99615E+08  6.55331E+17  4.46016E+17  3.10947E+17  1.88349E+17  7.61493E-02  8.20088E-06  3.27733E-05  2.45448E-06  2.99547E-04  1.14504E-01  8.09004E-01
  7.94328E+08  1.00000E+08  1.12837E+18  1.64036E+09  2.50000E+09  1.54326E+18  1.17874E+09  7.27327E+09  1.56479E+18  1.01751E+09  6.65124E+17  4.36420E+17  2.85644E+17  1.72395E+17  6.86659E-02  7.62488E-06  3.14676E-05  2.56424E-06  3.19875E-04  1.23066E-01  8.07907E-01
  1.00000E+09  1.00000E+08  1.23424E+18  2.00431E+09  2.50000E+09  1.65941E+18  1.40820E+09  7.33933E+09  1.64519E+18  1.03722E+09  6.72664E+17  4.10951E+17  2.66709E+17  1.60745E+17  6.27662E-02  7.15248E-06  3.03446E-05  2.64633E-06  3.37169E-04  1.30761E-01  8.06095E-01
  1.25893E+09  1.00000E+08  1.23424E+18  2.00431E+09  2.50000E+09  1.65941E+18  1.40820E+09  7.33933E+09  1.64519E+18  1.03722E+09  6.72664E+17  4.10951E+17 2.66709E+17  1.60745E+17  6.27662E-02  7.15248E-06  3.03446E-05  2.64633E-06  3.37169E-04  1.30761E-01  8.06095E-01
