Time, Max density, Central density
   4.6616435964252486E-007    49999997966.16586         49999944510.59328     
   9.3232871894099531E-007    49999998185.11205         49999945361.64201     
   1.3984930772147925E-006    49999998607.49403         49999946691.07418     
   1.8646574338009772E-006    50000000010.15594         49999948497.69684     
   2.3308217880433838E-006    50000001621.22118         49999950785.75771     
   2.7969861392952904E-006    50000003650.03155         49999953558.92089     
   3.2631504869000976E-006    50000006632.63835         49999956818.07874     
   3.7293148301886366E-006    50000009942.96510         49999960561.81062     
   4.1954791684855757E-006    50000013521.71696         49999964787.21933     
   4.6616435011191129E-006    50000017297.43951         49999969490.50309     
   5.1278078274210541E-006    50000021573.26122         49999974665.64477     
   5.5939721467228085E-006    50000026989.23827         49999980309.46438     
   6.0601364583517378E-006    50000032658.74186         49999986420.02245     
   6.5263007616329354E-006    50000038510.11287         49999992996.59380     
   6.9924650558900033E-006    50000044496.57502         50000000049.58983     
   7.4586293404467237E-006    50000050873.46696         50000007569.94859     
   7.9247936146240420E-006    50000058481.67068         50000015551.94083     
   8.3909578777398979E-006    50000066608.73740         50000023989.93587     
   8.8571221291098818E-006    50000074803.63811         50000032879.17410     
   9.3232863680477462E-006    50000083011.30718         50000042217.10614     
   9.7894505938662545E-006    50000091352.62314         50000052004.38317     
   1.0255614805876615E-005    50000101037.65441         50000062244.92057     
   1.0721779003386855E-005    50000111351.47684         50000072940.89413     
   1.1187943185703880E-005    50000121992.31535         50000084094.24422     
   1.1654107352132582E-005    50000132514.17169         50000095705.67836     
   1.2120271501975496E-005    50000142916.77185         50000107775.22287     
   1.2586435634534500E-005    50000154817.63977         50000120302.44635     
   1.3052599749110248E-005    50000167267.75160         50000133286.15223     
   1.3518763845001905E-005    50000180122.45603         50000146723.78668     
   1.3984927921506691E-005    50000192889.77202         50000160612.91553     
   1.4451091977919856E-005    50000205643.73420         50000174951.46938     
   1.4917256013534507E-005    50000219762.81682         50000189737.87933     
   1.5383420027642135E-005    50000234329.99361         50000204971.02568     
   1.5849584019533048E-005    50000249248.85009         50000220650.16017     
   1.6315747988496742E-005    50000264138.08659         50000236774.78735     
   1.6781911933822023E-005    50000278852.25297         50000253344.44671     
   1.7248075854797099E-005    50000295218.65264         50000270358.37249     
   1.7714239750709367E-005    50000312097.73807         50000287814.85761     
   1.8180403620845282E-005    50000329155.15748         50000305713.28172     
   1.8646567464490292E-005    50000345921.83601         50000324053.32310     
   1.9112731280928823E-005    50000363972.26392         50000342834.97109     
   1.9578895069444406E-005    50000382376.83469         50000362057.46263     
   2.0045058829318945E-005    50000401080.10720         50000381719.38364     
   2.0511222559833214E-005    50000419843.29021         50000401819.56539     
   2.0977386260267697E-005    50000438389.07085         50000422356.64490     
   2.1443549929903161E-005    50000458723.06699         50000443328.98696     
   2.1909713568020969E-005    50000479520.24356         50000464734.61005     
   2.2375877173903376E-005    50000500249.72316         50000486570.92577     
   2.2842040746833607E-005    50000521197.19016         50000508835.05150     
   2.3308204286095687E-005    50000543195.51659         50000531524.16783     
   2.3774367790974528E-005    50000565363.34505         50000554636.47986     
   2.4240531260755594E-005    50000587567.62749         50000578171.88565     
   2.4706694694724679E-005    50000609551.58588         50000602132.13067     
   2.5172858092167392E-005    50000633420.58717         50000626521.41177     
   2.5639021452368696E-005    50000657765.88475         50000651341.77086     
   2.6105184774612404E-005    50000682171.43113         50000676596.48945     
   2.6571348058181350E-005    50000707471.44229         50000702289.12086     
   2.7037511302355150E-005    50000733033.02399         50000728423.47736     
   2.7503674506408573E-005    50000758652.41167         50000755006.83590     
   2.7969837669612466E-005    50000785126.89479         50000782045.96998     
   2.8436000791230969E-005    50000813243.75039         50000809546.59522     
   2.8902163870518580E-005    50000841593.14433         50000837512.28860     
   2.9368326906717737E-005    50000870589.38848         50000865943.98777     
   2.9834489899060340E-005    50000900100.89775         50000894838.80109     
   3.0300652846769118E-005    50000930023.36585         50000924195.20975     
